"APID","Mnemonic","Enum Name","Enum Value"
430,"APM0_ISENABLED","False","0"
430,"APM0_ISENABLED","True","1"
400,"APR0_ISENABLED","False","0"
400,"APR0_ISENABLED","True","1"
400,"APR0_NULLCNTRLENABLED","False","0"
400,"APR0_NULLCNTRLENABLED","True","1"
400,"APR0_SPEEDCONTROLSTATE","BYPASS","0"
400,"APR0_SPEEDCONTROLSTATE","COMPENSATE","1"
400,"APR0_SPEEDCONTROLSTATE","GOTO_SPEED","2"
400,"APR0_SPEEDCONTROLSTATE","HOLD_SPEED","3"
400,"APR0_SPEEDCONTROLSTATE","SPD_EXTERNAL","4"
400,"APR0_SPEEDCONTROLSTATE","CONSTANT_TORQUE","5"
460,"APT0_ISENABLED","False","0"
460,"APT0_ISENABLED","True","1"
460,"APT0_THRCTRLSTATE","ATTITUDE_CONTROL","0"
460,"APT0_THRCTRLSTATE","MANUAL_CONTROL","1"
600,"ATD_ADSTATE","UNDETERMINED","0"
600,"ATD_ADSTATE","DETERMINED","1"
602,"ATD_ALLOWAD","False","0"
602,"ATD_ALLOWAD","True","1"
602,"ATD_QFORMED","INIT_NOT_USED","0"
602,"ATD_QFORMED","INIT_PASS","1"
602,"ATD_QFORMED","INIT_FAIL","2"
602,"ATD_CHKATTCONSIST","INIT_NOT_USED","0"
602,"ATD_CHKATTCONSIST","INIT_PASS","1"
602,"ATD_CHKATTCONSIST","INIT_FAIL","2"
602,"ATD_CHKTIMEWINDOW","INIT_NOT_USED","0"
602,"ATD_CHKTIMEWINDOW","INIT_PASS","1"
602,"ATD_CHKTIMEWINDOW","INIT_FAIL","2"
602,"ATD_CHKSUNSENS","INIT_NOT_USED","0"
602,"ATD_CHKSUNSENS","INIT_PASS","1"
602,"ATD_CHKSUNSENS","INIT_FAIL","2"
602,"ATD_CHKMAGSENS","INIT_NOT_USED","0"
602,"ATD_CHKMAGSENS","INIT_PASS","1"
602,"ATD_CHKMAGSENS","INIT_FAIL","2"
602,"ATD_CHKHRZSENS","INIT_NOT_USED","0"
602,"ATD_CHKHRZSENS","INIT_PASS","1"
602,"ATD_CHKHRZSENS","INIT_FAIL","2"
910,"CMC_ENABLED","False","0"
910,"CMC_ENABLED","True","1"
910,"CMC_INPROGRESS","False","0"
910,"CMC_INPROGRESS","True","1"
910,"CMC_THRESHCTRLTIMEREXCEED","False","0"
910,"CMC_THRESHCTRLTIMEREXCEED","True","1"
610,"EPH_EPHEMSOURCE","Table","0"
610,"EPH_EPHEMSOURCE","GPS","1"
610,"EPH_ECLIPSE","False","0"
610,"EPH_ECLIPSE","True","1"
611,"EPH_PROPENABLED","False","0"
611,"EPH_PROPENABLED","True","1"
611,"EPH_PROPCOMPLETED","False","0"
611,"EPH_PROPCOMPLETED","True","1"
800,"GID_GUIDETYPE","Idle","0"
800,"GID_GUIDETYPE","Hold","1"
800,"GID_GUIDETYPE","RateDamp","2"
800,"GID_GUIDETYPE","SunAcq","3"
800,"GID_GUIDETYPE","Tracking","4"
800,"GID_GUIDETYPE","EigenSlew","5"
800,"GID_GUIDETYPE","RendezSlew","6"
700,"MDC_GUIDETYPE","Idle","0"
700,"MDC_GUIDETYPE","Hold","1"
700,"MDC_GUIDETYPE","RateDamp","2"
700,"MDC_GUIDETYPE","SunAcq","3"
700,"MDC_GUIDETYPE","Tracking","4"
700,"MDC_GUIDETYPE","EigenSlew","5"
700,"MDC_GUIDETYPE","RendezSlew","6"
700,"MDC_ACMODE","Idle","0"
700,"MDC_ACMODE","Hold","1"
700,"MDC_ACMODE","RateDamp","2"
700,"MDC_ACMODE","SunAcq","3"
700,"MDC_ACMODE","InertialPoint","4"
700,"MDC_ACMODE","SunTrack","5"
700,"MDC_ACMODE","NadirTrack","6"
700,"MDC_ACMODE","AccelBurn","7"
700,"MDC_ACMODE","DecelBurn","8"
700,"MDC_ACMODE","TargetTrack","9"
700,"MDC_ACMODE","EigenSlew","10"
700,"MDC_ACMODE","RendezSlew","11"
700,"MDC_CLOCKINGOPTION","InertialFixed","0"
700,"MDC_CLOCKINGOPTION","SC2Sun","1"
700,"MDC_CLOCKINGOPTION","SC2NadirDetic","2"
700,"MDC_CLOCKINGOPTION","SC2NadirCentric","3"
700,"MDC_CLOCKINGOPTION","SCVelocity","4"
700,"MDC_CLOCKINGOPTION","SCMagField","5"
700,"MDC_CLOCKINGOPTION","SC2Tgt","6"
700,"MDC_CLOCKINGOPTION","TgtNormal","7"
700,"MDC_CLOCKINGOPTION","TrueNorth","8"
700,"MDC_CLOCKINGOPTION","TrueNorthAtTgt","9"
700,"MDC_CLOCKINGOPTION","TgtVelocity","10"
700,"MDC_CLOCKINGOPTION","InertialVector","11"
700,"MDC_CLOCKINGOPTION","CBOrbitNormal","12"
700,"MDC_CLOCKINGOPTION","SCOrbitNormal","13"
700,"MDC_CLOCKINGOPTION","SCSurfaceRelativeVelocity","14"
700,"MDC_CLOCKINGOPTION","ExternalGuidance","15"
700,"MDC_RESACMODE","Idle","0"
700,"MDC_RESACMODE","Hold","1"
700,"MDC_RESACMODE","RateDamp","2"
700,"MDC_RESACMODE","SunAcq","3"
700,"MDC_RESACMODE","InertialPoint","4"
700,"MDC_RESACMODE","SunTrack","5"
700,"MDC_RESACMODE","NadirTrack","6"
700,"MDC_RESACMODE","AccelBurn","7"
700,"MDC_RESACMODE","DecelBurn","8"
700,"MDC_RESACMODE","TargetTrack","9"
700,"MDC_RESACMODE","EigenSlew","10"
700,"MDC_RESACMODE","RendezSlew","11"
700,"MDC_RESCLOCKINGOPTION","InertialFixed","0"
700,"MDC_RESCLOCKINGOPTION","SC2Sun","1"
700,"MDC_RESCLOCKINGOPTION","SC2NadirDetic","2"
700,"MDC_RESCLOCKINGOPTION","SC2NadirCentric","3"
700,"MDC_RESCLOCKINGOPTION","SCVelocity","4"
700,"MDC_RESCLOCKINGOPTION","SCMagField","5"
700,"MDC_RESCLOCKINGOPTION","SC2Tgt","6"
700,"MDC_RESCLOCKINGOPTION","TgtNormal","7"
700,"MDC_RESCLOCKINGOPTION","TrueNorth","8"
700,"MDC_RESCLOCKINGOPTION","TrueNorthAtTgt","9"
700,"MDC_RESCLOCKINGOPTION","TgtVelocity","10"
700,"MDC_RESCLOCKINGOPTION","InertialVector","11"
700,"MDC_RESCLOCKINGOPTION","CBOrbitNormal","12"
700,"MDC_RESCLOCKINGOPTION","SCOrbitNormal","13"
700,"MDC_RESCLOCKINGOPTION","SCSurfaceRelativeVelocity","14"
700,"MDC_RESCLOCKINGOPTION","ExternalGuidance","15"
620,"VEH_BUSCONFIG","Baseline","0"
620,"VEH_ATTCTRLCONFIG","Standard","0"
620,"VEH_MOMCTRLCONFIG","Standard","0"
620,"VEH_MISSIONMODE","NORMAL_OPS","0"
620,"VEH_MISSIONMODE","SAFE_MODE","1"
620,"VEH_SUNMEASVALIDITY","NotValid","0"
620,"VEH_SUNMEASVALIDITY","ValidThisFrame","1"
620,"VEH_SUNMEASVALIDITY","FromBuffer","2"
620,"VEH_SUNAVOIDVIOLATED","False","0"
620,"VEH_SUNAVOIDVIOLATED","True","1"
620,"VEH_SUNAVOIDENABLED","False","0"
620,"VEH_SUNAVOIDENABLED","True","1"
410,"RWP0_SPEEDAVAIL","False","0"
410,"RWP0_SPEEDAVAIL","True","1"
411,"RWP1_SPEEDAVAIL","False","0"
411,"RWP1_SPEEDAVAIL","True","1"
412,"RWP2_SPEEDAVAIL","False","0"
412,"RWP2_SPEEDAVAIL","True","1"
860,"GES_SLEWTIMERESULT","Error","-1"
860,"GES_SLEWTIMERESULT","InputAccepted","0"
860,"GES_SLEWTIMERESULT","SlewTimeResolved","1"
870,"GRS_SLEWTIMERESULT","Error","-1"
870,"GRS_SLEWTIMERESULT","InputAccepted","0"
870,"GRS_SLEWTIMERESULT","SlewTimeResolved","1"
840,"GSA_SUNCONVERGED","False","0"
840,"GSA_SUNCONVERGED","True","1"
840,"GSA_INSUNSEARCH","False","0"
840,"GSA_INSUNSEARCH","True","1"
850,"GTR_ISSINGULAR","False","0"
850,"GTR_ISSINGULAR","True","1"
850,"GTR_INSINGULARITYAVOID","False","0"
850,"GTR_INSINGULARITYAVOID","True","1"
2300,"OEP_ECLIPSE","False","0"
2300,"OEP_ECLIPSE","True","1"
2250,"OVS_BUSCONFIG","Baseline","0"
270,"OAT0_ISON","False","0"
270,"OAT0_ISON","True","1"
1000,"STK_ECLIPSE","False","0"
1000,"STK_ECLIPSE","True","1"
1000,"STK_ADDETERMINED","False","0"
1000,"STK_ADDETERMINED","True","1"
9010,"FJ_STATUS_00","FREE","0"
9010,"FJ_STATUS_00","LOADED","1"
9010,"FJ_STATUS_00","ACTIVE","2"
9011,"FJ_STATUS_01","FREE","0"
9011,"FJ_STATUS_01","LOADED","1"
9011,"FJ_STATUS_01","ACTIVE","2"
9012,"FJ_STATUS_02","FREE","0"
9012,"FJ_STATUS_02","LOADED","1"
9012,"FJ_STATUS_02","ACTIVE","2"
9013,"FJ_STATUS_03","FREE","0"
9013,"FJ_STATUS_03","LOADED","1"
9013,"FJ_STATUS_03","ACTIVE","2"
9014,"FJ_STATUS_04","FREE","0"
9014,"FJ_STATUS_04","LOADED","1"
9014,"FJ_STATUS_04","ACTIVE","2"
9015,"FJ_STATUS_05","FREE","0"
9015,"FJ_STATUS_05","LOADED","1"
9015,"FJ_STATUS_05","ACTIVE","2"
9016,"FJ_STATUS_06","FREE","0"
9016,"FJ_STATUS_06","LOADED","1"
9016,"FJ_STATUS_06","ACTIVE","2"
9017,"FJ_STATUS_07","FREE","0"
9017,"FJ_STATUS_07","LOADED","1"
9017,"FJ_STATUS_07","ACTIVE","2"
9018,"FJ_STATUS_08","FREE","0"
9018,"FJ_STATUS_08","LOADED","1"
9018,"FJ_STATUS_08","ACTIVE","2"
9019,"FJ_STATUS_09","FREE","0"
9019,"FJ_STATUS_09","LOADED","1"
9019,"FJ_STATUS_09","ACTIVE","2"
9020,"FJ_STATUS_10","FREE","0"
9020,"FJ_STATUS_10","LOADED","1"
9020,"FJ_STATUS_10","ACTIVE","2"
9021,"FJ_STATUS_11","FREE","0"
9021,"FJ_STATUS_11","LOADED","1"
9021,"FJ_STATUS_11","ACTIVE","2"
9022,"FJ_STATUS_12","FREE","0"
9022,"FJ_STATUS_12","LOADED","1"
9022,"FJ_STATUS_12","ACTIVE","2"
9023,"FJ_STATUS_13","FREE","0"
9023,"FJ_STATUS_13","LOADED","1"
9023,"FJ_STATUS_13","ACTIVE","2"
9024,"FJ_STATUS_14","FREE","0"
9024,"FJ_STATUS_14","LOADED","1"
9024,"FJ_STATUS_14","ACTIVE","2"
9025,"FJ_STATUS_15","FREE","0"
9025,"FJ_STATUS_15","LOADED","1"
9025,"FJ_STATUS_15","ACTIVE","2"
9026,"FJ_STATUS_16","FREE","0"
9026,"FJ_STATUS_16","LOADED","1"
9026,"FJ_STATUS_16","ACTIVE","2"
9027,"FJ_STATUS_17","FREE","0"
9027,"FJ_STATUS_17","LOADED","1"
9027,"FJ_STATUS_17","ACTIVE","2"
9028,"FJ_STATUS_18","FREE","0"
9028,"FJ_STATUS_18","LOADED","1"
9028,"FJ_STATUS_18","ACTIVE","2"
9029,"FJ_STATUS_19","FREE","0"
9029,"FJ_STATUS_19","LOADED","1"
9029,"FJ_STATUS_19","ACTIVE","2"
9030,"FJ_STATUS_20","FREE","0"
9030,"FJ_STATUS_20","LOADED","1"
9030,"FJ_STATUS_20","ACTIVE","2"
9031,"FJ_STATUS_21","FREE","0"
9031,"FJ_STATUS_21","LOADED","1"
9031,"FJ_STATUS_21","ACTIVE","2"
9032,"FJ_STATUS_22","FREE","0"
9032,"FJ_STATUS_22","LOADED","1"
9032,"FJ_STATUS_22","ACTIVE","2"
9033,"FJ_STATUS_23","FREE","0"
9033,"FJ_STATUS_23","LOADED","1"
9033,"FJ_STATUS_23","ACTIVE","2"
9034,"FJ_STATUS_24","FREE","0"
9034,"FJ_STATUS_24","LOADED","1"
9034,"FJ_STATUS_24","ACTIVE","2"
9035,"FJ_STATUS_25","FREE","0"
9035,"FJ_STATUS_25","LOADED","1"
9035,"FJ_STATUS_25","ACTIVE","2"
9036,"FJ_STATUS_26","FREE","0"
9036,"FJ_STATUS_26","LOADED","1"
9036,"FJ_STATUS_26","ACTIVE","2"
9037,"FJ_STATUS_27","FREE","0"
9037,"FJ_STATUS_27","LOADED","1"
9037,"FJ_STATUS_27","ACTIVE","2"
9038,"FJ_STATUS_28","FREE","0"
9038,"FJ_STATUS_28","LOADED","1"
9038,"FJ_STATUS_28","ACTIVE","2"
9039,"FJ_STATUS_29","FREE","0"
9039,"FJ_STATUS_29","LOADED","1"
9039,"FJ_STATUS_29","ACTIVE","2"
9040,"FJ_STATUS_30","FREE","0"
9040,"FJ_STATUS_30","LOADED","1"
9040,"FJ_STATUS_30","ACTIVE","2"
9041,"FJ_STATUS_31","FREE","0"
9041,"FJ_STATUS_31","LOADED","1"
9041,"FJ_STATUS_31","ACTIVE","2"
9042,"FJ_STATUS_32","FREE","0"
9042,"FJ_STATUS_32","LOADED","1"
9042,"FJ_STATUS_32","ACTIVE","2"
9043,"FJ_STATUS_33","FREE","0"
9043,"FJ_STATUS_33","LOADED","1"
9043,"FJ_STATUS_33","ACTIVE","2"
9044,"FJ_STATUS_34","FREE","0"
9044,"FJ_STATUS_34","LOADED","1"
9044,"FJ_STATUS_34","ACTIVE","2"
9045,"FJ_STATUS_35","FREE","0"
9045,"FJ_STATUS_35","LOADED","1"
9045,"FJ_STATUS_35","ACTIVE","2"
9046,"FJ_STATUS_36","FREE","0"
9046,"FJ_STATUS_36","LOADED","1"
9046,"FJ_STATUS_36","ACTIVE","2"
9047,"FJ_STATUS_37","FREE","0"
9047,"FJ_STATUS_37","LOADED","1"
9047,"FJ_STATUS_37","ACTIVE","2"
9048,"FJ_STATUS_38","FREE","0"
9048,"FJ_STATUS_38","LOADED","1"
9048,"FJ_STATUS_38","ACTIVE","2"
9049,"FJ_STATUS_39","FREE","0"
9049,"FJ_STATUS_39","LOADED","1"
9049,"FJ_STATUS_39","ACTIVE","2"
9050,"FJ_STATUS_40","FREE","0"
9050,"FJ_STATUS_40","LOADED","1"
9050,"FJ_STATUS_40","ACTIVE","2"
9051,"FJ_STATUS_41","FREE","0"
9051,"FJ_STATUS_41","LOADED","1"
9051,"FJ_STATUS_41","ACTIVE","2"
9052,"FJ_STATUS_42","FREE","0"
9052,"FJ_STATUS_42","LOADED","1"
9052,"FJ_STATUS_42","ACTIVE","2"
9053,"FJ_STATUS_43","FREE","0"
9053,"FJ_STATUS_43","LOADED","1"
9053,"FJ_STATUS_43","ACTIVE","2"
9054,"FJ_STATUS_44","FREE","0"
9054,"FJ_STATUS_44","LOADED","1"
9054,"FJ_STATUS_44","ACTIVE","2"
9055,"FJ_STATUS_45","FREE","0"
9055,"FJ_STATUS_45","LOADED","1"
9055,"FJ_STATUS_45","ACTIVE","2"
9056,"FJ_STATUS_46","FREE","0"
9056,"FJ_STATUS_46","LOADED","1"
9056,"FJ_STATUS_46","ACTIVE","2"
9057,"FJ_STATUS_47","FREE","0"
9057,"FJ_STATUS_47","LOADED","1"
9057,"FJ_STATUS_47","ACTIVE","2"
9058,"FJ_STATUS_48","FREE","0"
9058,"FJ_STATUS_48","LOADED","1"
9058,"FJ_STATUS_48","ACTIVE","2"
9059,"FJ_STATUS_49","FREE","0"
9059,"FJ_STATUS_49","LOADED","1"
9059,"FJ_STATUS_49","ACTIVE","2"
