"Function Code","Enum Name","Enum Value","Item Description","Parameter","Dependant Parameter","Dependant Enum Name"
0x2620000,"This_SC","0","This_SC","TABLE","NULL","NULL"
0x2620001,"This_SC","0","This_SC","TABLE","NULL","NULL"
0x2620002,"This_SC","0","This_SC","TABLE","NULL","NULL"
0x2620003,"GeneralTarget","0","GeneralTarget","TARGET","NULL","NULL"
0x2620003,"LLA_deg_m","0","LLA_deg_m","ARGTYPE","NULL","NULL"
0x2620003,"LLA_rd_m","1","LLA_rd_m","ARGTYPE","NULL","NULL"
0x2620003,"CBF_m","2","CBF_m","ARGTYPE","NULL","NULL"
0x2620003,"Centric_LLA_deg_m","3","Centric_LLA_deg_m","ARGTYPE","NULL","NULL"
0x2620003,"Centric_LLA_rd_m","4","Centric_LLA_rd_m","ARGTYPE","NULL","NULL"
0x2620004,"GeneralTarget","0","GeneralTarget","TARGET","NULL","NULL"
0x2620004,"LLA_deg_m","0","LLA_deg_m","ARGTYPE","NULL","NULL"
0x2620004,"LLA_rd_m","1","LLA_rd_m","ARGTYPE","NULL","NULL"
0x2620004,"CBF_m","2","CBF_m","ARGTYPE","NULL","NULL"
0x2620004,"Centric_LLA_deg_m","3","Centric_LLA_deg_m","ARGTYPE","NULL","NULL"
0x2620004,"Centric_LLA_rd_m","4","Centric_LLA_rd_m","ARGTYPE","NULL","NULL"
0x2620004,"LatLonAlt","0","LatLonAlt","SCANINTERPTYPE","NULL","NULL"
0x2620004,"XYZ","1","XYZ","SCANINTERPTYPE","NULL","NULL"
0x2620005,"FALSE","0","FALSE","ENABLED","NULL","NULL"
0x2620005,"TRUE","1","TRUE","ENABLED","NULL","NULL"
0x2bc0000,"Idle","0","Idle","IDLEMODE","NULL","NULL"
0x2bc0001,"Hold","0","Hold","HOLDMODE","NULL","NULL"
0x2bc0002,"RateDamp","0","RateDamp","RATEDAMPMODE","NULL","NULL"
0x2bc0003,"SunAcq","0","SunAcq","SUNACQMODE","NULL","NULL"
0x2bc0004,"EigenSlew","0","EigenSlew","SLEWMODE","NULL","NULL"
0x2bc0004,"RendezSlew","1","RendezSlew","SLEWMODE","NULL","NULL"
0x2bc0004,"InertialPoint","0","InertialPoint","TRACKMODE","NULL","NULL"
0x2bc0004,"SunTrack","1","SunTrack","TRACKMODE","NULL","NULL"
0x2bc0004,"NadirTrack","2","NadirTrack","TRACKMODE","NULL","NULL"
0x2bc0004,"VelocityTrack","3","VelocityTrack","TRACKMODE","NULL","NULL"
0x2bc0004,"MagFieldTrack","4","MagFieldTrack","TRACKMODE","NULL","NULL"
0x2bc0004,"TargetTrack","5","TargetTrack","TRACKMODE","NULL","NULL"
0x2bc0004,"InertialFixed","0","InertialFixed","CLOCKINGOPTION","NULL","NULL"
0x2bc0004,"SC2Sun","1","SC2Sun","CLOCKINGOPTION","NULL","NULL"
0x2bc0004,"SC2NadirDetic","2","SC2NadirDetic","CLOCKINGOPTION","NULL","NULL"
0x2bc0004,"SC2NadirCentric","3","SC2NadirCentric","CLOCKINGOPTION","NULL","NULL"
0x2bc0004,"SCVelocity","4","SCVelocity","CLOCKINGOPTION","NULL","NULL"
0x2bc0004,"SCMagField","5","SCMagField","CLOCKINGOPTION","NULL","NULL"
0x2bc0004,"SC2Tgt","6","SC2Tgt","CLOCKINGOPTION","NULL","NULL"
0x2bc0004,"TgtNormal","7","TgtNormal","CLOCKINGOPTION","NULL","NULL"
0x2bc0004,"TrueNorth","8","TrueNorth","CLOCKINGOPTION","NULL","NULL"
0x2bc0004,"TrueNorthAtTgt","9","TrueNorthAtTgt","CLOCKINGOPTION","NULL","NULL"
0x2bc0004,"TgtVelocity","10","TgtVelocity","CLOCKINGOPTION","NULL","NULL"
0x2bc0004,"InertialVector","11","InertialVector","CLOCKINGOPTION","NULL","NULL"
0x2bc0004,"CBOrbitNormal","12","CBOrbitNormal","CLOCKINGOPTION","NULL","NULL"
0x2bc0004,"SCOrbitNormal","13","SCOrbitNormal","CLOCKINGOPTION","NULL","NULL"
0x2bc0004,"SCSurfaceRelativeVelocity","14","SCSurfaceRelativeVelocity","CLOCKINGOPTION","NULL","NULL"
0x2bc0004,"ExternalGuidance","15","ExternalGuidance","CLOCKINGOPTION","NULL","NULL"
0x2bc0005,"EigenSlew","0","EigenSlew","SLEWMODE","NULL","NULL"
0x2bc0005,"RendezSlew","1","RendezSlew","SLEWMODE","NULL","NULL"
0x2bc0005,"InertialPoint","0","InertialPoint","TRACKMODE","NULL","NULL"
0x2bc0005,"SunTrack","1","SunTrack","TRACKMODE","NULL","NULL"
0x2bc0005,"NadirTrack","2","NadirTrack","TRACKMODE","NULL","NULL"
0x2bc0005,"VelocityTrack","3","VelocityTrack","TRACKMODE","NULL","NULL"
0x2bc0005,"MagFieldTrack","4","MagFieldTrack","TRACKMODE","NULL","NULL"
0x2bc0005,"TargetTrack","5","TargetTrack","TRACKMODE","NULL","NULL"
0x2bc0005,"InertialFixed","0","InertialFixed","CLOCKINGOPTION","NULL","NULL"
0x2bc0005,"SC2Sun","1","SC2Sun","CLOCKINGOPTION","NULL","NULL"
0x2bc0005,"SC2NadirDetic","2","SC2NadirDetic","CLOCKINGOPTION","NULL","NULL"
0x2bc0005,"SC2NadirCentric","3","SC2NadirCentric","CLOCKINGOPTION","NULL","NULL"
0x2bc0005,"SCVelocity","4","SCVelocity","CLOCKINGOPTION","NULL","NULL"
0x2bc0005,"SCMagField","5","SCMagField","CLOCKINGOPTION","NULL","NULL"
0x2bc0005,"SC2Tgt","6","SC2Tgt","CLOCKINGOPTION","NULL","NULL"
0x2bc0005,"TgtNormal","7","TgtNormal","CLOCKINGOPTION","NULL","NULL"
0x2bc0005,"TrueNorth","8","TrueNorth","CLOCKINGOPTION","NULL","NULL"
0x2bc0005,"TrueNorthAtTgt","9","TrueNorthAtTgt","CLOCKINGOPTION","NULL","NULL"
0x2bc0005,"TgtVelocity","10","TgtVelocity","CLOCKINGOPTION","NULL","NULL"
0x2bc0005,"InertialVector","11","InertialVector","CLOCKINGOPTION","NULL","NULL"
0x2bc0005,"CBOrbitNormal","12","CBOrbitNormal","CLOCKINGOPTION","NULL","NULL"
0x2bc0005,"SCOrbitNormal","13","SCOrbitNormal","CLOCKINGOPTION","NULL","NULL"
0x2bc0005,"SCSurfaceRelativeVelocity","14","SCSurfaceRelativeVelocity","CLOCKINGOPTION","NULL","NULL"
0x2bc0005,"ExternalGuidance","15","ExternalGuidance","CLOCKINGOPTION","NULL","NULL"
0x2bc0005,"Sun","0","Sun","CLOCKINGCELESTIALBODY","NULL","NULL"
0x2bc0005,"Earth","1","Earth","CLOCKINGCELESTIALBODY","NULL","NULL"
0x2bc0006,"EigenSlew","0","EigenSlew","SLEWMODE","NULL","NULL"
0x2bc0006,"RendezSlew","1","RendezSlew","SLEWMODE","NULL","NULL"
0x2bc0007,"EigenSlew","0","EigenSlew","SLEWMODE","NULL","NULL"
0x2bc0007,"RendezSlew","1","RendezSlew","SLEWMODE","NULL","NULL"
0x26c0000,"Baseline","0","Baseline","BUSCONFIG","NULL","NULL"
0x26c0003,"NORMAL_OPS","0","NORMAL_OPS","MISSIONMODE","NULL","NULL"
0x26c0003,"SAFE_MODE","1","SAFE_MODE","MISSIONMODE","NULL","NULL"
0x10040000,"Off","0","Off","STATE","NULL","NULL"
0x10040000,"On","1","On","STATE","NULL","NULL"
0x10040000,"Standby","2","Standby","STATE","NULL","NULL"
0x10040001,"Image","0","Image","MODE","NULL","NULL"
0xbb80000,"Off","0","Off","STATE","NULL","NULL"
0xbb80000,"On","1","On","STATE","NULL","NULL"
0xbb80000,"Standby","2","Standby","STATE","NULL","NULL"
0xbb80001,"Off","0","Off","STATE","NULL","NULL"
0xbb80001,"On","1","On","STATE","NULL","NULL"
0xbb80001,"Standby","2","Standby","STATE","NULL","NULL"
0x8ca0000,"Baseline","0","Baseline","BUSCONFIG","NULL","NULL"
0xbb90000,"Off","0","Off","STATE","NULL","NULL"
0xbb90000,"On","1","On","STATE","NULL","NULL"
0xbb90000,"Standby","2","Standby","STATE","NULL","NULL"
0xbb90001,"Off","0","Off","STATE","NULL","NULL"
0xbb90001,"On","1","On","STATE","NULL","NULL"
0xbb90001,"Standby","2","Standby","STATE","NULL","NULL"
0x9c40000,"DISABLE","0","Disable","FI_ENABLE","NULL","NULL"
0x9c40000,"ENABLE","1","Enable","FI_ENABLE","NULL","NULL"
0x9c40001,"DISABLE","0","Disable","FI_ENABLE","NULL","NULL"
0x9c40001,"ENABLE","1","Enable","FI_ENABLE","NULL","NULL"
0x9c40002,"DISABLE","0","Disable","FI_ENABLE","NULL","NULL"
0x9c40002,"ENABLE","1","Enable","FI_ENABLE","NULL","NULL"
0x9c40003,"DISABLE","0","Disable","FI_ENABLE","NULL","NULL"
0x9c40003,"ENABLE","1","Enable","FI_ENABLE","NULL","NULL"
0x9c40004,"DISABLE","0","Disable","FI_ENABLE","NULL","NULL"
0x9c40004,"ENABLE","1","Enable","FI_ENABLE","NULL","NULL"
0x9c40005,"DISABLE","0","Disable","FI_ENABLE","NULL","NULL"
0x9c40005,"ENABLE","1","Enable","FI_ENABLE","NULL","NULL"
